idcategory;cat_idcategory;category_name
1;;Sugary snacks
2;;Salty snacks
3;;Fruits and vegetables
4;;Cereals and potatoes
5;;Fish Meat Eggs
6;;Milk and dairy products
7;;Beverages
8;;Fat and sauces
10;;Composite foods
11;11;Alcoholic beverages
12;1;Sweets
13;2;Appetizers
14;1;Biscuits and cakes
15;3;Vegetables
16;4;Cereals
17;5;Fish and seafood
18;6;Cheese
19;2;Salty and fatty products
20;7;Sweetened beverages
21;7;Fruit juices
22;8;Fats
23;6;Ice cream
24;1;Chocolate products
25;8;Dressings and sauces
26;10;One-dish meals
27;7;Unsweetened beverages
28;3;Soups
29;3;Fruits
30;7;Plant-based milk substitutes
31;5;Processed meat
32;6;Milk and yogurt
33;4;Breakfast cereals
34;10;Pizza pies and quiches
35;4;Bread
36;3;Dried fruits
37;1;Pastries
38;5;Meat
39;6;Dairy desserts
40;5;Eggs
41;7;Artificially sweetened beverages
42;10;Sandwiches
43;4;Potatoes
44;4;Legumes
45;7;Waters and flavored waters
46;2;Nuts
47;5;Offals
48;7;Fruit nectars
49;7;Teas and herbal teas and coffees
